L (m),m (kg),n,E (J)
9.53996983528e-09,2.7327863913287365e-28,2,8.525812564562371e-24
9.690688297671034e-09,4.140769073339787e-28,7,7.259919612973253e-23
8.27557613304815e-09,1.2267639585294432e-28,4,1.0584899810583606e-22
3.741523922560336e-09,1.8188631512009913e-28,1,1.956438388273797e-23
1.8790490260574546e-09,6.814048478964144e-28,4,3.817562343054457e-22
7.158097238609412e-09,1.821750531827009e-28,6,2.136172872908435e-22
4.961372443656412e-09,5.255907366217599e-28,7,2.223117667259166e-22
2.0983441136030097e-09,7.093081200868826e-28,7,8.66387802447542e-22
5.456592191001432e-09,1.0768073386395857e-28,7,8.055562543098365e-22
1.3094966900369655e-09,5.6770163863123765e-28,3,5.021998674564041e-22
9.18388361870904e-09,2.5723187719603256e-28,6,9.472447520358513e-23
3.329019834400152e-09,9.62960241049866e-28,8,3.164415962250109e-22
6.962700559185837e-09,4.840104556378769e-28,4,3.65985719592831e-23
3.805399684804699e-09,8.0616715648036055e-28,8,2.9753331730010584e-22
5.680612190600297e-09,5.506313382683212e-28,2,1.1644656761806938e-23
5.920392514089517e-09,4.4273461575249833e-29,10,3.402793892217949e-21
2.663690099729743e-09,6.3348153935598785e-28,9,9.97554296142643e-22
9.726261649881027e-09,9.51447079198671e-28,9,5.235849768563046e-23
7.976195410250031e-09,6.019703695081995e-28,8,9.316828202727151e-23
9.455490474077702e-09,8.193515894533062e-28,10,7.474577347017416e-23
9.053446153848839e-09,8.843106775313943e-28,10,7.256925825846973e-23
6.3810998092997656e-09,2.287745001541785e-28,1,6.214071098832828e-24
9.296868115208051e-09,2.127539995523093e-28,2,1.2196743011452027e-23
1.7964325184672755e-09,6.113311059610259e-28,6,9.660555819891065e-22
2.7638457617723067e-09,4.115585441838788e-28,10,1.82411009983886e-21
1.4070456001948427e-09,8.400054276941404e-28,5,8.481014857658303e-22
3.927972976869379e-09,9.001131025869529e-28,9,3.0707050262350985e-22
4.498095607205338e-09,3.540033000613457e-28,5,1.9058574165477543e-22
3.4421412859650635e-09,2.3755737547140507e-28,2,7.607145237922339e-23
8.458637582367365e-09,7.807230422801425e-28,10,1.1118512513665862e-22
4.2107799402423035e-09,2.7545871011614283e-28,4,1.8456796253074756e-22
3.5284105871864268e-09,8.227739656270161e-28,9,4.380311387862658e-22
5.884264748424236e-09,4.24256889220479e-28,1,3.82431011923528e-24
2.2683180247728637e-09,6.678491043821083e-28,1,1.707247678063608e-23
8.219772826786357e-09,9.634933205221698e-29,7,4.113726859322257e-22
1.6709557931179374e-09,6.241978512843642e-28,3,2.750489304361477e-22
9.881982429404656e-09,4.522610878263656e-28,10,1.295095111628297e-22
7.950202923669917e-09,5.869805155586163e-28,2,5.865247793062833e-24
2.7884411338075515e-09,1.6876299495789306e-28,9,3.2064902609009494e-21
1.0496990541124216e-09,7.371105585737325e-28,3,5.696830630980832e-22
8.339152856093508e-09,8.629205601734397e-28,2,3.9379230161943e-24
7.3617160946285535e-09,2.17444734270694e-28,8,3.000159054494819e-22
7.561064512368886e-09,9.652841242019359e-29,10,9.65175391770182e-22
7.941433120173511e-09,2.4517311318894695e-29,6,1.2628024100067439e-21
1.6664018656068134e-09,6.422937260928671e-28,6,1.1524448733065333e-21
4.226191556898453e-09,6.074476514563009e-28,10,4.984211268380675e-22
2.0428215357261675e-09,5.4710538504262745e-28,7,1.0924807938038842e-21
8.767930832880342e-09,2.326383437294711e-28,7,1.528132982742321e-22
6.609683141448021e-09,3.914541805091998e-28,6,1.225065184448966e-22
3.978082223673843e-09,5.9484130648450555e-28,4,9.860489926440875e-23
1.5720251525742126e-09,4.9721976868619625e-28,9,3.5165836822679646e-21
3.79884089544096e-09,9.877965132466939e-28,6,1.4739253067124222e-22
3.9266498982407236e-09,1.3721695677943208e-28,4,4.194590940510914e-22
7.566455605042577e-09,6.95418923948951e-28,3,1.3175923844327538e-23
6.738017242196918e-09,4.048548812129983e-28,4,4.914287632737791e-23
8.984914683186939e-09,4.287142352721818e-28,3,1.3185700421126687e-23
5.2499343264575435e-09,7.1785192766908395e-28,2,1.2064340780517435e-23
2.0763482134447153e-09,6.927129587881778e-28,5,4.606079294053268e-22
7.419203085006955e-09,9.912638633078565e-28,2,4.139291208884376e-24
7.847065437552077e-09,1.2917873459361653e-28,6,2.3168957700080577e-22
6.0514947781254656e-09,1.049159506997206e-28,3,1.3180577175613954e-22
7.938704619591049e-09,7.245869121933254e-28,6,4.565070795191679e-23
5.4441603672795164e-09,5.787663687811034e-28,10,3.508899673579966e-22
5.704595464437946e-09,2.748139219599021e-28,9,5.3187618758679615e-22
4.847869165226946e-09,8.024789155689652e-29,1,2.9905961140323704e-23
1.2287721406968568e-09,8.648115717179376e-29,6,1.3962367800154308e-20
1.9710228429397403e-09,8.942861028769207e-28,9,1.2879829220891176e-21
1.2828626711806084e-09,1.9259464412649606e-28,4,2.6882948349624296e-21
6.727693701374023e-09,3.2398052770961683e-28,2,1.514619247975599e-23
3.82920382968694e-09,2.2735241146498375e-28,4,2.4738654243502664e-22
5.577136220482324e-09,3.5557680915668864e-28,1,4.909963626503561e-24
9.168098265334837e-09,7.026136128762189e-29,3,8.147254001372487e-23
3.243630062339874e-09,5.19492637096453e-28,10,9.76586221649454e-22
4.693446307320668e-09,6.845171228498191e-29,9,2.868740526187905e-21
7.799960246887439e-09,8.005361869653216e-28,10,1.1191703921186554e-22
3.059183489424602e-09,2.3440174103671367e-28,5,6.3439651568615575e-22
1.692819188459137e-09,5.404259038813666e-28,6,1.116381688699572e-21
3.6077630762239123e-09,8.80187016382653e-28,3,3.7990711412583145e-23
2.45099158528604e-09,6.511915794150518e-28,5,3.4478795816442166e-22
9.367278871083157e-09,5.333781245434392e-28,8,7.430603233636252e-23
8.273083416079752e-09,3.2494185273757184e-28,6,8.967498620150034e-23
6.700633808593811e-09,3.3360221133644563e-28,4,5.649181652764127e-23
8.84314531168946e-09,6.697844169385119e-28,2,4.193136367914096e-24
8.23304869209203e-09,9.941446357960684e-28,9,6.638575702457613e-23
2.6791305299743228e-09,6.621435345785143e-28,1,1.1123236258431699e-23
9.0330309864098e-09,5.58181412294392e-28,1,1.2660393004804634e-24
5.8540801772408564e-09,7.308929247800309e-28,4,3.536692227341198e-23
8.266961396476563e-09,4.656869272326629e-28,7,8.680602887954622e-23
9.06482169931144e-09,6.098821449244451e-29,1,1.0988793682013566e-23
3.862031274746775e-09,5.626907487436198e-28,9,5.853831219176755e-22
1.9904673207490907e-09,9.576634217493254e-28,4,2.3833087716059863e-22
3.051416462877475e-09,1.7604516970953776e-28,3,2.9397434964209666e-22
4.843970097636306e-09,6.9028388641892725e-28,1,3.52746186198648e-24
8.362132893302438e-09,2.0165284833926335e-28,10,3.5734105264760366e-22
8.74657524930709e-09,5.3624543955705555e-28,4,2.1532364415656086e-23
1.0625691747807164e-09,9.748944084203758e-29,9,4.103088139561435e-20
5.5967257231980915e-09,4.508656024155528e-28,10,3.9114944783137493e-22
4.756699028339011e-09,7.5638278189924045e-28,6,1.1351742073177037e-22
2.9989702942365725e-09,3.4815870986716706e-28,6,5.990263898520725e-22
2.0787883060031453e-09,6.652133039351797e-28,1,1.8338032873323624e-23
4.0385365426326515e-09,7.956340558250185e-28,10,4.250808745219429e-22
9.486187335212673e-09,9.272433594419212e-28,2,2.4844255255382617e-24
3.908826388186797e-09,2.353309039817837e-28,6,5.981149029681163e-22
5.6691155956902945e-09,3.9985653148507983e-28,2,1.48267003708552e-23
7.3271706300566e-09,1.5317883891842006e-28,3,5.908978682671228e-23
4.2726664214136455e-09,9.924902670064327e-28,4,4.8731335362708536e-23
9.746038744488646e-09,9.270666670531635e-28,5,1.5976288605405707e-23
9.662025654479001e-09,5.403711688633072e-28,9,8.408522176138114e-23
3.2660406624282777e-09,8.421754644114826e-28,4,1.0328899701056875e-22
5.475236553031468e-09,5.213891150924974e-28,9,2.6458567097612824e-22
3.7079047883509266e-09,6.239244608835573e-28,10,6.21673336592207e-22
3.5635644493972085e-09,8.994422012711221e-29,3,4.458579298460782e-22
1.3319825261907953e-09,7.554906771183609e-28,8,2.756738131027234e-21
6.486079005819071e-09,1.2849854149996312e-28,1,9.439498379785023e-24
5.524111209059753e-09,8.262241693853012e-28,9,1.996307344090057e-22
1.4633087612499043e-09,7.822242623914827e-28,9,2.5349200538747008e-21
3.5078181781295033e-09,7.090068275150079e-28,10,5.877952808067619e-22
9.174392973699883e-09,3.7027836182289834e-29,2,7.2207187445934e-23
3.1560570160027513e-09,3.0375554042497788e-28,4,2.8516645729403476e-22
2.304053848821008e-09,2.6377576859792313e-28,8,2.4461012334724276e-21
5.405074842498067e-09,3.6071228470479477e-28,7,2.62784155974095e-22
9.870854086995407e-09,8.84638682917511e-29,1,5.8809456330788045e-24
3.1784974436035035e-09,9.370145609903348e-28,5,1.325996706843047e-22
7.049219926652906e-09,5.542038186957353e-28,7,9.47318305214627e-23
7.854576537958459e-09,3.061493387784314e-28,4,4.899599218580634e-23
3.1387378959315974e-09,3.9752423370891664e-28,1,1.3625341993297518e-23
7.553947137506735e-09,4.477000582183813e-28,9,1.8792253251944106e-22
4.310048194473279e-09,6.009537984605929e-28,5,1.3028169369843982e-22
6.690752475342215e-09,5.16115316211571e-28,2,9.63577014583094e-24
6.701767396848052e-09,9.194645204385244e-28,8,8.649747426325126e-23
5.821972156672826e-09,4.974162157712151e-28,2,1.3203914842788406e-23
1.8126079304896749e-09,9.921650726099718e-28,3,1.527310532161645e-22
8.517722460303142e-09,8.515586752831252e-28,10,8.720351059577253e-23
3.887020584745623e-09,2.0922285489441426e-28,1,1.714400326762171e-23
2.6786665935986883e-09,9.306576789507367e-28,2,3.1115465849437895e-23
1.3669762739928754e-09,1.1716166812737918e-28,7,1.0925858198755378e-20
6.3180364886941756e-09,8.176140037535495e-28,10,1.7743762942851826e-22
7.098079256580542e-09,3.811807325124512e-28,2,1.152048870608528e-23
1.1492904603507054e-09,8.78084143556669e-28,6,1.703976853511393e-21
5.608837524693529e-09,8.681754390863536e-28,3,1.844499409723914e-23
3.038461976781442e-09,8.061000672575154e-28,4,1.1310294319598113e-22
6.806555113685048e-09,7.902194089143852e-28,8,9.113788536708877e-23
2.569297861044923e-09,3.053049278728526e-28,3,2.416003814219191e-22
7.218439642922193e-09,8.174645569650606e-29,10,1.376582873206531e-21
4.480618116704837e-09,4.0351749660427286e-28,6,2.296337411042783e-22
9.430569898630611e-09,1.7426834292302084e-28,1,3.075890591605874e-24
2.2376884973139393e-09,6.952256329224496e-28,7,7.523515780032475e-22
4.069597159452327e-09,3.466882367839016e-28,8,6.466816635016728e-22
2.021261691165302e-09,9.75632151679141e-28,8,8.048573711047512e-22
9.322242564507065e-09,6.412952024757213e-28,3,8.339670097494187e-24
8.896054180428829e-09,8.2264033112709e-28,10,8.540881622905922e-23
3.3214746494364e-09,1.3330540053638077e-28,1,4.211261578923509e-23
6.939856414307611e-09,8.621386692385773e-28,9,9.978989663260565e-23
8.354999801810943e-09,9.228267090419323e-28,6,2.852765398025506e-23
5.996807304395161e-09,4.875235630919989e-28,9,2.578484066139004e-22
5.766855205204058e-09,6.066073101070017e-28,7,1.413298933355649e-22
3.1766706181040655e-09,7.650214720821828e-28,1,6.887093711493021e-24
1.8379249102530928e-09,1.755812724958782e-28,1,8.502975345140033e-23
9.074941821579941e-09,5.030137669946254e-28,6,4.872760495680209e-23
9.103762514469975e-09,3.9920423104731807e-28,5,4.274399468850093e-23
6.697913115459411e-09,1.471422555693031e-28,9,7.333169516592132e-22
4.0512681194383064e-09,3.6810364131146913e-28,2,3.752892450701605e-23
4.142886171513948e-09,6.901095430704663e-29,8,3.0881398673941132e-21
7.533601109832155e-09,2.6688676233232454e-29,5,8.939222763792932e-22
9.073992339573194e-09,1.3594463949458343e-28,2,2.200620374738123e-23
8.983777818386056e-09,9.631483079887436e-28,10,6.919554644780153e-23
8.018879912718615e-09,5.499349593127116e-28,6,5.416148763549824e-23
6.7782848153885895e-09,9.658529212081821e-28,10,1.348613360751669e-22
1.7572596849554395e-09,4.330086302396349e-28,8,2.4332106240557827e-21
2.454658426851524e-09,3.124354985654829e-28,4,4.233584081804505e-22
9.086987696743714e-09,5.06586335163688e-28,2,5.2793095698927424e-24
6.457861536936309e-09,4.400161281131406e-28,5,7.476155355072443e-23
1.082773464549667e-09,1.0646958604590834e-28,2,1.738618739370921e-21
1.913243885794289e-09,6.411495710069851e-28,2,9.818514437543799e-23
6.971515921972502e-09,2.16743748145341e-28,6,1.790359668938759e-22
1.0455542546159682e-09,6.199303257384217e-28,10,8.124135980553194e-21
2.447272462757488e-09,6.505159114149951e-28,9,1.1204530547579002e-21
5.938604104299274e-09,1.5278803076083234e-28,4,1.5569941173895033e-22
7.2270567792342386e-09,6.219441244626856e-29,6,6.063248235694174e-22
6.867651335523404e-09,7.8095890064097835e-28,7,7.612084941269653e-23
3.0184237851450377e-09,4.602866033879279e-28,6,5.210772228473404e-22
7.409612992127822e-09,5.901144808952086e-29,8,1.1155212226987526e-21
3.1352417874712004e-09,9.948709374843144e-28,4,7.851855739255603e-23
3.928597283433409e-09,5.862855849146991e-29,1,6.053531957825326e-23
7.718422646062217e-09,6.953096971525805e-28,7,6.508229560846407e-23
6.846696091424931e-09,9.836936142306766e-28,3,1.1212712243702626e-23
8.643010694447602e-09,2.398648421221313e-28,6,1.1128139263048934e-22
6.91851603070309e-09,1.4302134425537772e-28,2,3.407590257871024e-23
6.1147774300192445e-09,1.221756929769487e-28,9,9.921647282477536e-22
1.8430729104528324e-09,3.0390219993478477e-28,1,5.730568988258351e-23
4.3094422275349014e-09,1.0185486978073713e-28,6,1.0215681574391993e-21
3.386821309135529e-09,6.924383964866073e-28,6,2.505428339267704e-22
3.195906790411752e-09,6.313573551174564e-29,5,2.215582232577322e-21
9.757094992772011e-09,5.09863648234455e-28,5,2.745748315538722e-23
4.537879522000843e-09,9.966998266845092e-28,1,2.5683182986139848e-24
9.02841899659402e-09,8.141376962634635e-28,10,8.00967597731376e-23
6.6802476339753655e-09,6.155657407366031e-28,5,4.807518339620534e-23
8.153301731874836e-09,3.0687799252790375e-28,2,1.1042079466942591e-23
5.5237338379467285e-09,6.242343300389761e-28,7,1.2823749065751558e-22
6.192134961637232e-09,5.274671265941312e-28,3,2.2522374714143535e-23
5.432659244369775e-09,4.265999088448702e-28,4,7.623792874285804e-23
2.7571868901824004e-09,1.314927374011333e-28,3,4.76203537033435e-22
7.502069037353548e-09,8.867062714467503e-28,3,9.996417392514309e-24
3.526951261967702e-09,4.502798426373834e-28,4,1.4509654866974482e-22
1.2188436978830846e-09,1.953473515601264e-28,5,4.750043739880364e-21
6.80925066316451e-09,3.6832836746150013e-28,1,3.0980446237505947e-24
2.59399611466344e-09,4.146570357516511e-28,4,2.901165639159871e-22
9.464127259176228e-09,8.27693111460864e-28,8,5.054443013518951e-23
9.585357193023287e-09,7.338541276188969e-28,10,8.620734997715591e-23
9.233779511984037e-09,7.695125192370627e-28,7,4.076674184885905e-23
4.331428302299e-09,1.1921336290661433e-29,9,2.086878552519734e-20
1.139109548759807e-09,4.166794595813998e-28,5,2.779127133423231e-21
9.354867063289528e-09,4.818109418988519e-28,10,1.350652349082371e-22
4.853657334855828e-09,2.0075003773915938e-29,4,1.90125933680545e-21
9.699893371393026e-09,2.6047937685716374e-28,8,1.4474166801636285e-22
9.672579793803276e-09,7.605055622813252e-28,9,6.450591543526941e-23
8.67708509920624e-09,1.3788630699384297e-28,7,2.543162487136163e-22
3.650040028626271e-09,5.357283523342844e-28,7,3.715602644827685e-22
4.4658795574173275e-09,2.1590819033242205e-28,5,3.258075898287138e-22
8.660230043651712e-09,1.300986594671377e-29,4,8.786110700962616e-22
3.8522980464064985e-09,2.4188437628770196e-28,10,1.5009205907242533e-21
2.5254347201748324e-09,9.758954685306349e-28,1,8.817602766548495e-24
6.011211362125151e-09,8.0171572848229505e-28,10,2.0034131593149325e-22
9.42539296744703e-09,9.596130253411444e-28,10,6.073060382873966e-23
7.264268170074756e-09,4.883149752868288e-28,7,1.0832146865948367e-22
6.130550530804284e-09,1.1053743609869376e-28,1,1.373332666401933e-23
1.874588443936917e-09,5.483663254336167e-28,1,2.959895804005867e-23
6.535065040292527e-09,4.548683949588569e-28,5,6.777899049373498e-23
9.910484650938369e-09,8.444971613651503e-28,9,4.9058452981984096e-23
2.260756137128716e-09,9.889430646153877e-29,6,4.01821003744183e-21
5.66496687127363e-09,4.887017199984587e-28,3,3.1789181301991735e-23
8.896357647351599e-09,1.5081362089575969e-28,3,4.3458961873708226e-23
7.666917559787839e-09,3.25283718555859e-28,7,1.3571550663453525e-22
7.273141668957411e-09,7.375934560181508e-28,6,5.2560955736761123e-23
7.322356755883983e-09,4.764897130523347e-28,9,1.8317445851427302e-22
4.235420360977796e-09,3.7644998568913818e-28,6,2.911720446371357e-22
3.6423265983804403e-09,3.9502124991932234e-28,5,2.672663512323993e-22
8.284250399306623e-09,4.599332663144213e-28,10,1.7718905885393602e-22
8.291020552112626e-09,7.852100289476037e-28,7,4.7775106276643166e-23
8.803650867220934e-09,8.921818127201882e-28,1,8.14751623688964e-25
9.219164973008242e-09,9.553748852860747e-28,7,3.580445233380019e-23
5.6020815897484395e-09,7.870951732076654e-28,3,2.0017984917340606e-23
5.513646652184796e-09,3.1602302954183957e-28,9,4.289123633618404e-22
8.184656610700976e-09,6.884153848510643e-28,6,4.137021039154541e-23
6.849675376999886e-09,4.381092812437421e-28,9,1.9702286686082334e-22
7.31770189531933e-09,2.5534141848620977e-28,5,1.068174926546555e-22
8.16213402492491e-09,8.410147950044394e-28,7,4.9829932557512964e-23
9.010048076358098e-09,3.929176524825891e-29,4,2.683863450929351e-22
4.0419564116638224e-09,9.018504063425017e-28,7,1.6957485509610757e-22
4.380246573759496e-09,4.619621349065719e-28,1,5.933842828102681e-24
1.845837458567821e-09,6.375279954791531e-28,7,1.1985219407225057e-21
6.204521268965565e-09,6.596605036757976e-28,8,1.3907026743142575e-22
1.3234804641706788e-09,8.952121347399004e-28,5,8.783003082771706e-22
5.190382163192141e-09,6.369966794532569e-28,2,1.365022418642827e-23
5.883801712368189e-09,6.142810445337778e-28,5,6.228295723651112e-23
3.5788712691545595e-09,6.749205372418535e-29,6,2.113144772779721e-21
6.317499345121096e-09,5.188414547254535e-28,2,9.987976969758399e-24
1.2745022494514448e-09,1.5093384871630634e-28,6,8.049269107502453e-21
1.3361336987429299e-09,7.376700783296363e-28,6,1.4455864895272797e-21
8.403405045936924e-09,5.1266092108394315e-28,1,1.4938040541028284e-24
4.241715772701366e-09,6.805155742070659e-28,1,4.3805438032547886e-24
2.143544613866963e-09,4.2535394991842124e-29,10,2.9470935671378955e-20
5.700189340493239e-09,8.5615703231362e-29,3,1.7234393960138158e-22
7.929941977887497e-09,7.165786970134259e-28,10,1.1949397185225737e-22
2.9423892474715884e-09,7.291946009627456e-29,10,9.00494765999695e-21
6.606014282371002e-09,7.209259671026987e-29,3,1.5256322110685965e-22
1.7681271849439121e-09,1.2997577607176053e-29,4,2.2067172510729492e-20
1.4651354905174692e-09,9.565405470410106e-28,2,1.0868314875766866e-22
5.782191684113331e-09,7.377446019354939e-28,9,1.815029249794491e-22
5.865716094490958e-09,3.5383348223441236e-28,10,4.25227924885905e-22
6.736869113483859e-09,2.971686992644964e-28,7,2.1164803897023127e-22
7.534822003503954e-09,3.5028849683907836e-28,7,1.502358938284668e-22
9.782668715162812e-09,7.748563430031189e-28,6,2.665510177785074e-23
5.646703134710757e-09,6.616753775204511e-28,3,2.2186686388846456e-23
3.906608256471213e-09,1.8592889185638723e-28,6,6.972836187930061e-22
8.156675752918333e-09,1.748526369322837e-28,8,3.168713775743193e-22
3.4374902613586675e-09,9.920709362865527e-29,8,2.9040759568588402e-21
4.950742786350725e-09,6.606084472536071e-28,9,2.7278103470785303e-22
1.7061074320803935e-09,7.645847268257365e-28,1,2.5079485538248876e-23
1.2281566907391177e-09,2.6570788653951156e-28,1,1.451704983365363e-22
9.663835732101326e-09,2.1826110565984992e-29,3,2.5171497127126265e-22
8.523821084609853e-09,8.299771297569856e-29,3,8.525408494718144e-23
7.263767854843282e-09,9.6788896081367e-28,10,1.0517590389313627e-22
4.680576499728429e-09,2.9607887717769066e-28,8,5.523787304465838e-22
2.559648880637612e-09,7.694308470050794e-28,10,1.04935997349131e-21
2.4079333840397745e-09,6.25001371642295e-28,1,1.5784652680063166e-23
3.2521860834813576e-09,3.8249589397720838e-28,2,5.738652551469235e-23
5.943039982355084e-09,2.0640214365957917e-28,2,3.094592470723361e-23
7.4313633043005605e-09,1.2217717038306298e-28,3,7.1859653676609e-23
6.941776390459581e-09,6.153594563676317e-28,6,6.594895064180963e-23
3.5194050725134856e-09,7.748366102352141e-28,1,6.234903283423414e-24
9.593787525968748e-09,6.442247397129437e-28,2,3.637318483785451e-24
7.641072250261916e-09,5.307248613292342e-28,1,1.8640862862821343e-24
5.989186472602606e-09,4.28134673305478e-29,5,9.08538415259111e-22
6.505486716109169e-09,9.685171376945488e-28,7,6.451107502633011e-23
4.776400561850109e-09,7.988953488820855e-28,8,1.7975629162570947e-22
3.229578905510417e-09,2.934584968679339e-28,10,1.8119837179125457e-21
4.203754107861354e-09,9.799883560624277e-28,1,3.183466508467981e-24
7.820614994179323e-09,6.022398962056495e-28,7,7.960190797147262e-23
1.129541397667803e-09,5.8279847781486e-28,5,1.7658220366508755e-21
2.044653764562246e-09,7.482999135680456e-28,10,1.955598957922716e-21
1.4140237781957747e-09,8.119391952808564e-28,1,3.444561757358494e-23
1.3665592208707314e-09,6.567877765849044e-28,3,4.1030851375077246e-22
8.699145256099066e-09,1.2888046019447045e-28,7,2.6754984543524713e-22
7.3329207344202126e-09,3.3886306523910342e-28,10,3.059316494768054e-22
5.267564461785926e-09,9.281483650497563e-28,1,2.1814111116774818e-24
1.8805074458590133e-09,2.253134577931925e-28,7,3.533231966079267e-21
5.4245428760514905e-09,3.7273207351605963e-28,5,1.189755847485831e-22
5.261245937025091e-09,4.325880137495463e-28,1,4.9055956817410875e-24
2.5588168291901366e-09,4.399095252037272e-28,1,1.9398059207416194e-23
4.904664843141757e-09,6.132879368702805e-28,1,3.833095610777209e-24
4.586542609576361e-09,9.431270694907374e-28,9,2.215856430525589e-22
6.542650882469947e-09,2.4137608839185573e-28,3,4.55854070205084e-23
6.715842857808793e-09,1.2229202506224725e-28,5,2.4965439942002354e-22
1.4077360879484007e-09,1.9819276641906338e-28,10,1.4103923044668642e-20
4.3715135316382404e-09,8.870266677990811e-28,9,2.4407866149966665e-22
6.632739241428127e-09,6.461295829238165e-28,6,7.226237287473227e-23
5.5282263272207886e-09,2.8654947312884496e-28,9,5.329092601761802e-22
8.7084085706949e-09,8.161125867235456e-28,8,5.468064820561744e-23
6.9282426845705046e-09,8.61494763366709e-28,8,8.05954030340003e-23
2.4664098437328672e-09,8.466524757854569e-28,1,1.0494393388355801e-23
1.6351187266038685e-09,9.18999499759279e-28,9,1.8113892942265787e-21
6.78177350385684e-09,2.529140032552056e-28,6,1.676063668153961e-22
1.2386017948745964e-09,7.552623910104067e-28,9,3.82490795936655e-21
6.2719802314611696e-09,4.610250117265933e-28,3,2.7536809820607203e-23
9.46207217282462e-09,8.421407541924605e-28,3,6.102820477591302e-24
6.17926760088291e-09,7.287350355521678e-28,6,6.655425885493501e-23
4.493529335858697e-09,7.7664864379787495e-28,9,2.4488592963009773e-22
6.789593965981178e-09,6.564712920271586e-28,7,9.304954911654349e-23
5.12427601442365e-09,1.7816908357718416e-28,3,1.0565686751964605e-22
5.910551103843414e-09,5.454363946699312e-28,3,2.727986912416503e-23
9.473183278988726e-09,9.846835367589363e-28,2,2.3429190536571732e-24
4.474923740206968e-09,9.374444172372715e-28,9,2.370936714720589e-22
9.650715074415228e-09,4.403487943479436e-29,3,1.217275286151472e-22
9.148155777604573e-09,1.6556648239528065e-28,5,9.623853377183658e-23
2.762120213103668e-09,1.3251021755845282e-28,9,4.055629300942624e-21
1.6242517078764892e-09,7.2622652806630885e-28,8,1.9932881782804616e-21
1.90700201239684e-09,8.179493230600739e-28,2,7.896281032149032e-23
1.1639964308639477e-09,2.1421920608099234e-28,3,1.6692797017728903e-21
1.8499866468033555e-09,5.062974255281724e-28,2,1.2992108589884817e-22
7.147060960747211e-09,8.4084639528599e-28,8,7.979462252563366e-23
1.6406978361420609e-09,7.33042023375961e-28,6,9.51408757952442e-22
3.870780672643852e-09,5.426491920069057e-28,6,2.6520245504039847e-22
8.603877798725091e-09,5.907163775373601e-28,9,9.324350702357607e-23
1.2094474216224328e-09,5.088030224240554e-28,8,4.651939599448864e-21
8.330216343300422e-09,2.981806577126337e-28,4,4.261644752367176e-23
3.5366929729605993e-09,5.654134730654431e-28,4,1.3441071531859254e-22
2.063483448594906e-09,6.891653052782457e-28,9,1.582803871485803e-21
7.2706344882773555e-09,8.73436925236533e-28,1,1.0892437113603473e-24
6.660485621018955e-09,6.3661869176066685e-28,2,7.77197083947654e-24
8.897248121743476e-09,7.613365276598193e-28,2,3.646288835946293e-24
7.615639394234972e-09,1.608275704831139e-28,6,2.0939412974301904e-22
8.231328373463637e-09,4.620420726928122e-28,4,2.8918470612061714e-23
3.5383111531417584e-09,1.0223221369248914e-29,10,3.985772638598857e-20
2.5969558940175056e-09,2.4735685354355362e-28,3,2.900321659426122e-22
